source,targets,category
"And come not nigh to the orphan's property, except to improve it, until he attain the age of full strength; give measure and weight with (full) justice;- no burden do We place on any soul, but that which it can bear;- whenever ye speak, speak justly, even if a near relative is concerned; and fulfil the covenant of Allah: thus doth He command you, that ye may remember.","و به مال یتیم جز به روشی که نیکوتر است، نزدیک نشوید تا به حد بلوغ [بدنی و عقلی] خود برسد، و پیمانه و ترازو را بر اساس عدالت و انصاف کامل و تمام بدهید؛ هیچ کس را جز به اندازه توانش تکلیف نمی‌کنیم؛ و هنگامی که سخن گویید، عدالت ورزید هر چند درباره خویشان باشد، و به پیمان خدا وفا کنید؛ خدا این [گونه] به شما سفارش کرده تا پند گیرید.",quran
"And David said, What have I to do with you, ye sons of Zeruiah, that ye should this day be adversaries unto me? shall there any man be put to death this day in Israel? for do not I know that I am this day king over Israel?",برزلای به پادشاه عرض کرد: «ایام سالهای زندگی من چند است که با پادشاه به اورشلیم بیایم؟,bible
But a man would need to be both very old and very young to be able to enjoy them.,می‌بایست در عین حال خیلی پیر و خیلی جوان بود تا بتوان بدان سرگرم شد.,mizan
I just thought you should know.,فکر کردم شاید لازم باشه بدونید.,mizan
"The day is thine, the night also is thine: thou hast prepared the light and the sun.",قوی‌دلان تاراج شده‌اند و خواب ایشان رادرربود و همه مردان زورآور دست خود رانیافتند.,bible
"They are (men) whom Allah hath cursed: And those whom Allah Hath cursed, thou wilt find, have no one to help.","اینانند که خدا لعنتشان کرده و هر که را خدا لعنت کند، هرگز برای او یاوری نخواهی یافت.",quran
"And they removed from Alush, and encamped at Rephidim, where was no water for the people to drink.","واز رتمه کوچ کرده، و در رمون فارص فرود آمدند.",bible
"""And fear Him Who created you and (who created) the generations before (you)""",و از آنکه شما و امت‌های پیشین را آفرید پروا کنید.,quran
"Yes, yes, continued Morrel;",مو رل گفت: آری آری,mizan
"And Moses said unto Hobab, the son of Raguel the Midianite, Moses' father in law, We are journeying unto the place of which the LORD said, I will give it you: come thou with us, and we will do thee good: for the LORD hath spoken good concerning Israel.","و ابر خداوند در روز بالای سر ایشان بود، و وقتی که از لشکرگاه روانه می‌شدند.",bible
'I heard their car drive up shortly after twelve.',من نیم ساعت پیش صدای اتومبیلشان را شنیدم.,mizan
"so would my conclusions be vain and uncertain if not founded on that conception of right, which has been and will be always alike for all men, which has been revealed to me as a Christian","افکار من هم چنان چه بر پایه فهم خیر و شر که همیشه برای تمام مردم یکسان بوده و خواهد بود و به وسیله مسیحیت بر من مکشوف شده و همیشه هم در روح من قابل اعتماد خواهد بود قرار نمی‌گرفت،",mizan
"And when he had thus spoken, he shewed them his hands and his feet.","بدیشان گفت: «بیایید و ببینید.» آنگاه آمده، دیدند که کجا منزل دارد، و آن روز را نزد او بماندند و قریب به ساعت دهم بود.",bible
"Or He bestows both males and females, and He leaves barren whom He will: for He is full of Knowledge and Power.",یا پسران و دختران را با هم به آنان می‌دهد و هر که را بخواهد نازا می‌کند؛ یقینا او دانا و تواناست.,quran
"And it came to pass in the third year, that Jehoshaphat the king of Judah came down to the king of Israel.","پادشاه وی راگفت: «چند مرتبه تو را قسم بدهم که به اسم یهوه، غیر از آنچه راست است به من نگویی.»",bible
"He couldn't like Professor Trelawney, even though she was treated with respect bordering on reverence by many of the class.","با این که بسیاری از شاگردان کلاس، پروفسور‌تر یلانی را به سر حد پرستش دوست داشتند هری به او علاقه‌ی چندانی نداشت.",mizan
"I will shew thee, hear me; and that which I have seen I will declare;",«بسیارچیزها مثل این شنیدم. تسلی دهندگان مزاحم همه شما هستید.,bible
"Say: ""Whether ye believe in it or not, it is true that those who were given knowledge beforehand, when it is recited to them, fall down on their faces in humble prostration,","بگو: به آن ایمان بیاورید یا نیاورید [برای آن یکسان است]، همانا کسانی که پیش از [نزول] آن معرفت و دانش یافته‌اند، زمانی که بر آنان می‌خوانند، سجده کنان به رو در می‌افتند.",quran
the lamp over the table still burning on into the day.,"چراغی را که هنوز هم در روز روشن روی میز می‌سوخت،",mizan
"Unto whom alone the earth was given, and no stranger passed among them.","من نیز مثل شمامی توانستم بگویم، اگر جان شما در جای جان من می‌بود، و سخنها به ضد شما ترتیب دهم، و سرخود را بر شما بجنبانم،",bible
"Auda then heard of it, waited till the messenger with presents was on his way, caught him, robbed him to the skin:","عودا از این مسئله اطلاع می‌یابد و صبر می‌کند تا رابطشان از طرف فرماندار معان با هدایا عازم شود، سپس راه را بر او می‌بندد و تمامی هدایا را می‌گیرد",mizan
The wicked have waited for me to destroy me: but I will consider thy testimonies.,"همه کسانی را که از فرایض تو گمراه شده‌اند، حقیر شمرده‌ای زیراکه مکر ایشان دروغ است.",bible
"Knowest thou not that to Allah (alone) belongeth the dominion of the heavens and the earth? He punisheth whom He pleaseth, and He forgiveth whom He pleaseth: and Allah hath power over all things.","آیا ندانسته‌ای که فرمانروایی آسمان‌ها و زمین در سیطره خداست، هر کس را بخواهد عذاب می‌کند، و هر کس را بخواهد می‌آمرزد؛ و خدا بر هر کاری تواناست؟",quran
Tea was finished in silence.,چای را در سکوت نوشیدند.,mizan
never realizing the true cause.,هرگز واقیعت مسئله را تشخیص نمی‌دادند.,mizan
And when he met Aksinya she would smile with a vague darkening of the pupils and her words clung like the mud at the bottom of a stream.,"هرگاه که آکسینیا به او برمی‌خورد، لبخندی مبهم می‌زد و مردمک چشمش تیره‌تر می‌شد و از لبانش کلماتی به چسبندگی گل کنار جویبار فرو می‌ریخت:",mizan
Then somehow she would maneuver to get a few minutes alone with him,"او باید طوری عمل کند که بتواند چند دقیقه‌ای با او تنها باشد،",mizan
"And when Simon saw that through laying on of the apostles' hands the Holy Ghost was given, he offered them money,","پطرس وی را گفت: «ای اینیاس، عیسی مسیح تو را شفامی دهد. برخیز و بستر خود را برچین که او درساعت برخاست.»",bible
Sometimes I DARE not be alone at night.,آری؛ گاهی اوقات جرئت نمی‌کنم شب را تنها بمانم.,mizan
From school duties she was exonerated: Mrs.Fairfax had pressed me into her service,از درس و کلاس معاف شده بود چون خانم فر فاکس مرا به خدمت خود واداشته بود.,mizan
Because he possesses wealth and (numerous) sons.,[سرکشی و یاغی‌گری اش] برای آن [است] که دارای ثروت و فرزندان فراوان است.,quran
And raised high the esteem (in which) thou (art held)?,و آوازه‌ات را برایت بلند نکردیم؟,quran
Who passing through the valley of Baca make it a well; the rain also filleth the pools.,‌ای خداوند بر من کرم فرما زیرا که تمامی روز تو را می‌خوانم!,bible
"There, far away from her, was the red banner she saw her son without seeing him his bronzed forehead, his eyes burning with the bright fire of faith.",وقتی که در دور به بیرق سرخ نگاه می‌کرد صورت پسر و پیشانی سبزه و چشم‌هایش را که از شعله سوزان ایمان روشن شده بود بی آن که کاملاتشخیص دهد مشاهده می‌نمود.,mizan
"And Jahath was the chief, and Zizah the second: but Jeush and Beriah had not many sons; therefore they were in one reckoning, according to their father's house.",لهذا بر حسب فرمان آخر داود پسران لاوي از بيست ساله و بالاتر شمرده شدند.,bible
"Be quick in the race for forgiveness from your Lord, and for a Garden whose width is that (of the whole) of the heavens and of the earth, prepared for the righteous,-",و به سوی آمرزشی از پروردگارتان و بهشتی که پهنایش [به وسعت] آسمان‌ها و زمین است بشتابید؛ بهشتی که برای پرهیزکاران آماده شده است؛,quran
"Whose possessors slay them, and hold themselves not guilty: and they that sell them say, Blessed be the LORD; for I am rich: and their own shepherds pity them not.",و در آن ساکن خواهندشد و دیگر لعنت نخواهد بود و اورشلیم به امنیت مسکون خواهد شد.,bible
Verily We did choose them for a special (purpose)- proclaiming the Message of the Hereafter.,ما آنان را با [صفت بسیار پرارزش] یاد کردن سرای آخرت با اخلاصی ویژه خالص ساختیم.,quran
"Suddenly Faramir stirred, and he opened his eyes, and he looked on Aragorn who bent over him; and a light of knowledge and love was kindled in his eyes, and he spoke softly.","ناگهان فارامیر تکانی خورد و چشمانش را گشود، و به آراگورن که روی او خم شده بود، نگاه‬ کرد؛ و برقی از آگاهی و عشق در چشمانش افروخته شد و آهسته لب به سخن گشود.",mizan
I wouldn't have the heart to just cut down something if it wasn't partially mine,اگه مال من نبود هیچ وقت نمی‌بریدمش,mizan
"has contemplated three murdered persons, has knelt by three corpses!",و در بالین آن‌ها نشسته,mizan
"Amon was twenty and two years old when he began to reign, and he reigned two years in Jerusalem. And his mother's name was Meshullemeth, the daughter of Haruz of Jotbah.","و حلقیا، رئیس کهنه، به شافان کاتب گفت: «کتاب تورات را در خانه خداوند یافته‌ام.» وحلقیا آن کتاب را به شافان داد که آن را خواند.",bible
Shall We then treat the People of Faith like the People of Sin?,آیا ما تسلیم شدگان [به فرمان‌ها و احکام خود] را چون مجرمان قرار می‌دهیم؟,quran
"O Prophet! sufficient unto thee is Allah,- (unto thee) and unto those who follow thee among the Believers.",ای پیامبر! خدا و مؤمنانی که از تو پیروی می‌کنند [از نظر حمایت و پشتیبانی] برای تو بس است.,quran
"""Then, O my Lord! put me not amongst the people who do wrong!""",پس پروردگارا! مرا در میان گروه ستمکاران قرار مده [و با آنان قرین عذاب مکن.],quran
"And if thou wilt make me an altar of stone, thou shalt not build it of hewn stone: for if thou lift up thy tool upon it, thou hast polluted it.","اگر غلام عبری بخری، شش سال خدمت کند، و در هفتمین، بی‌قیمت، آزاد بیرون رود.",bible
"Then came the word of the LORD unto Jeremiah, saying,","در آنها آوازشادمانی و آواز سرور و آواز داماد و آواز عروس و آواز کسانی که می‌گویند یهوه صبایوت راتسبیح بخوانید زیرا خداوند نیکو است و رحمت او تا ابدالاباد است، بار دیگر شنیده خواهد شد وآواز آنانی که هدایای تشکر به خانه خداوندمی آورند. زیرا خداوند می‌گوید اسیران این زمین را مثل سابق باز خواهم آورد.",bible
Before dawn he had slept for a few hours,قبل از فرا رسیدن صبح چند ساعت خوابید,mizan
I asked him nothing;,"من چیزی از او نپرسیده‌ام،",mizan
"And with them their brethren of the second degree, Zechariah, Ben, and Jaaziel, and Shemiramoth, and Jehiel, and Unni, Eliab, and Benaiah, and Maaseiah, and Mattithiah, and Elipheleh, and Mikneiah, and Obed-edom, and Jeiel, the porters.",يعني آساف رئيس و بعد از او زکريا و يعيئيل و شَمِيرامُوت و يحيئيل و مَتَّتيا و اَلِيآب و بنايا و عُوبيد اَدُوم و يعيئيل را با عودها و بربطها و آساف با سنجها مي نواخت.,bible
"He is the One that sends down rain (even) after (men) have given up all hope, and scatters His Mercy (far and wide). And He is the Protector, Worthy of all Praise.","و اوست که باران را پس از اینکه [مردم از آمدنش] نومید شدند، نازل می‌کند و رحمتش را می‌گستراند، و او سرپرست و یار [واقعی] و ستوده است.",quran
"They said, ""Burn him and protect your gods, If ye do (anything at all)!""","گفتند: اگر می‌خواهید کاری انجام دهید [و مرد کار هستید] او را بسوزانید، و معبودانتان را یاری دهید.",quran
"And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.","و از آنجا بر ساکنان دبیر برآمد و اسم دبیرقبل از آن، قریه سفیر بود.",bible
he is heartily welcome to keep it.,با نهایت مسرت خاطر حاضرم از ته دل آن را به وی ببخشم و مالکیتش را تصدیق کنم.,mizan
that the count held him up as a pattern to the other guests.,کنت از مهمانانش خواهش می‌کرد که به وی تأسی جویند.,mizan
"What can Allah gain by your punishment, if ye are grateful and ye believe? Nay, it is Allah that recogniseth (all good), and knoweth all things.","اگر شما سپاس گزار [نعمت‌های بی شمار حق] باشید و ایمان آورید، خدا را با عذاب شما چه کار؟ خدا همواره پاداش دهنده و داناست.",quran
"Or, You might see if this girl will be of any use to you.","یا، به بنید این دختر به دردتون می‌خوره؟",mizan
"And it shall come to pass in that day, that a great tumult from the LORD shall be among them; and they shall lay hold every one on the hand of his neighbour, and his hand shall rise up against the hand of his neighbour.",آیا انسان خدا را گول زند؟ اما شما مرا گول زده‌اید و می‌گویید در چه چیز تو را گول زده‌ایم؟ در عشرها و هدایا.,bible
"He spake, and the locusts came, and caterpillers, and that without number,",آنگاه به کلام اوایمان آوردند و حمد او را سراییدند.,bible
"(It will be said:) ""Thou wast heedless of this; now have We removed thy veil, and sharp is thy sight this Day!""","[به او می‌گویند:] تو از این روز بزرگ در بی خبری و غفلت بودی، پس ما پرده بی خبری را از دیده [بصیرت] ات کنار زدیم در نتیجه دیده‌ات امروز بسیار تیزبین است.",quran
"After that Frodo felt easier, and they went on for several miles, until the broadening of the road and the beginnings of a rough wall along its edge warned them that they were drawing near to another orc hold.",پس از آن فرودو آسوده‌تر شد‬ و چندین مایل بی وقفه رفتند تا آن که پهن شدن راه و طلیعه‌ی دیواری زمخت در طول حاشیه‬ جاده به آن‌ها هشدار داد که به قلعه او رکی دیگری نزدیک می‌شوند. ‬ ‬‬‬‬‬‬,mizan
So wait thou and watch; for they (too) are waiting.,[ولی اگر متذکر و هوشیار نشدند] پس به انتظار باش که مسلما آنان هم منتظرند [که سرانجام کار چه خواهد شد؟ سرانجام نصرت و پیروزی خدا برای تو و عذاب دنیا و آخرت برای آنان است.],quran
"It is He who doth take your souls by night, and hath knowledge of all that ye have done by day: by day doth He raise you up again; that a term appointed be fulfilled; In the end unto Him will be your return; then will He show you the truth of all that ye did.","او کسی است که شبانگاهان روح شما را به وقت خواب می‌گیرد، و آنچه را در روز [از نیکی و بدی] به دست می‌آورید می‌داند؛ سپس شما را در روز [با برگرداندن روح به جسمتان از خواب] بر می‌انگیزد تا اجل معین سر آید؛ آن گاه بازگشت شما به سوی اوست؛ سپس شما را به آنچه همواره انجام می‌دادید آگاه می‌کند.",quran
"And the glorious beauty, which is on the head of the fat valley, shall be a fading flower, and as the hasty fruit before the summer; which when he that looketh upon it seeth, while it is yet in his hand he eateth it up.",و من اریئیل را به تنگی خواهم‌انداخت و ماتم و نوحه گری خواهد بود و آن برای من مثل اریئیل خواهد بود.,bible
"Is one who worships devoutly during the hour of the night prostrating himself or standing (in adoration), who takes heed of the Hereafter, and who places his hope in the Mercy of his Lord - (like one who does not)? Say: ""Are those equal, those who know and those who do not know? It is those who are endued with understanding that receive admonition.","[آیا چنین انسان کفران کننده‌ای بهتر است] یا کسی که در ساعات شب به سجده و قیام و عبادتی خالصانه مشغول است، از آخرت می‌ترسد و به رحمت پروردگارش امید دارد؟ بگو: آیا کسانی که معرفت و دانش دارند و کسانی که بی بهره از معرفت و دانش اند، یکسانند؟ فقط خردمندان متذکر می‌شوند.",quran
"Twice will they be given their reward, for that they have persevered, that they avert Evil with Good, and that they spend (in charity) out of what We have given them.","اینان به علت صبری که [بر ایمان و عمل به قرآن] کردند و بدی [مردم] را با نیکی و خوبی خود دفع می‌کنند و از آنچه به آنان روزی کرده‌ایم، انفاق می‌نمایند، دوبار پاداششان می‌دهند.",quran
"For if he were on earth, he should not be a priest, seeing that there are priests that offer gifts according to the law:",پس ترک مکنید دلیری خود را که مقرون به مجازات عظیم می‌باشد.,bible
"And whenever they saw them, they would say, ""Behold! These are the people truly astray!""","و هنگامی که مؤمنان را می‌دیدند، می‌گفتند: بی تردید اینان گمراه‌اند؛",quran
"Wherefore, holy brethren, partakers of the heavenly calling, consider the Apostle and High Priest of our profession, Christ Jesus;","پس ملاحظه کنید که این شخص چقدربزرگ بود که ابراهیم پاتریارخ نیز از بهترین غنایم، ده‌یک بدو داد.",bible
"And there came against Gibeah ten thousand chosen men out of all Israel, and the battle was sore: but they knew not that evil was near them.","پس از حضور مردان اسرائیل به راه صحرا روگردانیدند. اما جنگ، ایشان را در‌گرفت و آنانی که از شهر بیرون آمدندایشان را در میان، هلاک ساختند.",bible
And might he not after all be a youth of very powerful connections?,چه‌بسا خویشاوندان قدرتمندی داشته باشد.,mizan
"If you'll tell me your sizes, Jeff said, I'll go out and buy some clothes for you.",جف گفت: اگر تو اندازه‌هایت را به من بدهی می‌توانم بروم و تعدادی لباس برایت بخرم.,mizan
and even to remain faithful to my memory,و اگر هم‌ مرده باشم پاس وفاداری مرا نگهداری خواهد کرد.,mizan
"That's the way it landed on me, but I guess I ain't up much on poetry, miss.",این‌طوری در من اثر کرد اما به گمونم زیاد از شعر سر در نمی‌آرم خان وم.,mizan
"He used to enjoin on his people Prayer and Charity, and he was most acceptable in the sight of his Lord.","و همواره خانواده‌اش را به نماز و زکات فرمان می‌داد، و نزد پروردگارش پسندیده بود.",quran
Rose of Sharon cried softly with nervousness.,رزاف شارن از عصبانیت می‌گریست,mizan
"""For me, I have set my face, firmly and truly, towards Him Who created the heavens and the earth, and never shall I give partners to Allah.""","من به دور از انحراف و با قلبی حق گرا همه وجودم را به سوی کسی که آسمان‌ها و زمین را آفرید، متوجه کردم و از مشرکان نیستم.",quran
Seest thou if he is on (the road of) Guidance?-,"مرا خبر ده، اگر این بنده نمازگزار بر راه راست باشد",quran
"The Day that the sky will be like molten brass,",روزی که آسمان چون فلز گداخته گردد,quran
"Even him, whose coming is after the working of Satan with all power and signs and lying wonders,",اما لازم است که نزد آنانی که خارجند هم نیک نام باشد که مبادا در رسوایی و دام ابلیس گرفتار شود.,bible
"Of course, it's not all attending balls","خودتون که می‌دونین، کار ما فقط شرکت در جشن کریسمس نیست!",mizan
But them that are without God judgeth. Therefore put away from among yourselves that wicked person.,"زن مادامی که شوهرش زنده است، بسته است. اما هرگاه شوهرش مرد آزاد گردید تا به هرکه بخواهد منکوحه شود، لیکن در خداوندفقط.اما بحسب رای من خوشحال تر است، اگر چنین بماند و من نیز گمان می‌برم که روح خدارا دارم.",bible
"And they gave them drink in vessels of gold, (the vessels being diverse one from another,) and royal wine in abundance, according to the state of the king.","و دختری که به نظرپادشاه پسند آید، در جای وشتی ملکه بشود.» پس این سخن در نظر پادشاه پسند آمد و همچنین عمل نمود.",bible
but could get no answer .,اما موفق نشدم.,mizan
"They will do you no harm, barring a trifling annoyance; if they come out to fight you, they will show you their backs, and no help shall they get.","هرگز به شما جز آزاری اندک نمی‌رسانند، و اگر با شما بجنگند [شکست می‌خورند و] به شما پشت کرده [فرار می‌کنند] آن گاه [از جانب دیگران] یاری نمی‌شوند.",quran
"For the stone shall cry out of the wall, and the beam out of the timber shall answer it.",روز کرنا و هنگامه جنگ به ضدشهرهای حصاردار و به ضد برجهای بلند.,bible
"Jesus saith unto her, Woman, what have I to do with thee? mine hour is not yet come.","و آنچه را دید و شنید، به آن شهادت می‌دهد و هیچ‌کس شهادت او را قبول نمی کند.",bible
And He destroyed the Overthrown Cities (of Sodom and Gomorrah).,و شهرها [ی قوم لوط] را زیر و رو کرد و به زمین کوبید.,quran
"Whether ye reveal anything or conceal it, verily Allah has full knowledge of all things.",اگر چیزی را آشکار کنید یا آن را پنهان نمایید [خدا می‌داند]؛ یقینا خدا به هر چیزی داناست.,quran
and the red tie I had bought for his fiftieth birthday that year.,و کراوات قرمزی را زده بود که آن سال به مناسبت پنجاه سالگی برایش خریده بودم.,mizan
"Then sent We our messengers in succession: every time there came to a people their messenger, they accused him of falsehood: so We made them follow each other (in punishment): We made them as a tale (that is told): So away with a people that will not believe!","آن گاه پیامبران را پی در پی فرستادیم؛ هر زمان برای امتی پیامبرش می‌آمد او را تکذیب می‌کردند، و ما این [امت] ها را به دنبال یکدیگر هلاک می‌کردیم و آنان را [به صورت] سرگذشت‌ها [برای عبرت دیگران] قرار دادیم؛ پس ملتی که ایمان نمی‌آورند از رحمت خدا دور باد.",quran
"That We may produce therewith corn and vegetables,","تا به وسیله آن دانه و گیاه برویانیم،",quran
Madness.,دیوانگی.,mizan
"Yet many years didst thou forbear them, and testifiedst against them by thy spirit in thy prophets: yet would they not give ear: therefore gavest thou them into the hand of the people of the lands.",وبرادران ایشان شبنیا و هودیا و قلیطا و فلایا وحانان.,bible
To him dost thou attend;,تو به او روی می‌آوری [و نسبت به وی اهتمام می‌ورزی],quran
"Wherefore didst thou flee away secretly, and steal away from me; and didst not tell me, that I might have sent thee away with mirth, and with songs, with tabret, and with harp?","در قوت دست من است که به شمااذیت رسانم. لیکن خدای پدر شما دوش به من خطاب کرده، گفت: «با حذر باش که به یعقوب نیک یا بد نگویی.»",bible
"And as for thee, if thou wilt walk before me, as David thy father walked, and do according to all that I have commanded thee, and shalt observe my statues and my judgments;","و سلیمان دختر فرعون را از شهر داود به خانه‌ای که برایش بنا کرده بود آورد، زیرا گفت: «زن من در خانه داود پادشاه اسرائیل ساکن نخواهد شد، چونکه همه جایهایی که تابوت خداوند داخل آنها شده است مقدس می‌باشد.»",bible
"only of a whiter colour, less hairy",جز اینکه رنگ من سفیدتر و موی من کم‌تر است,mizan
"And it shall be at that day, saith the LORD, that thou shalt call me Ishi; and shalt call me no more Baali.",وفخر اسرائیل پیش روی ایشان شهادت می‌دهد. اسرائیل و افرایم در گناه خود می‌لغزند و یهودانیز همراه ایشان خواهد لغزید.,bible
"""But Allah has created you and your handwork!""","در حالی که خدا شما را و آنچه را می‌سازید، آفریده است.",quran
"""And O ye in sin! Get ye apart this Day!",و [ندا آید:] ای گناهکاران! امروز [از صف نیکان] جدا شوید.,quran
whose captain was a son of the famous corsair Barbarossa.,"فرمانده آن پسر سرخ ریش بار بروس، دزد دریایی معروف بود",mizan
"Truly ye are in a doctrine discordant,",که شما [در رابطه با قرآن و حقایقی که قرآن با دلیل و برهان اثبات می‌کند] در گفتاری متناقض و گوناگون هستید.,quran
She looked out the window to take one last look at her beloved land.,او از پنجره به بیرون نگریست تا برای اخرین بار به سرزمین محبوبش نگاهی بی اندازد.,mizan
"And he hath violently taken away his tabernacle, as if it were of a garden: he hath destroyed his places of the assembly: the LORD hath caused the solemn feasts and sabbaths to be forgotten in Zion, and hath despised in the indignation of his anger the king and the priest.",من به جهت تمامی قوم خود مضحکه وتمامی روز سرود ایشان شده‌ام.,bible
"He said: ""The Knowledge (of when it will come) is only with Allah: I proclaim to you the mission on which I have been sent: But I see that ye are a people in ignorance!""..","گفت: آگاهی [به کیفیت عذاب و زمان آمدنش] فقط نزد خداست، و من آیینی را که به آن فرستاده شده‌ام به شما ابلاغ می‌کنم، ولی من شما را گروهی می‌دانم که همواره نادانی می‌کنید.",quran
Ha-Mim,حم,quran
"The officer, Theodule Gillenormand, now a captain, had come from Chartres, where he was stationed in garrison, to be present at the wedding of his cousin Pontmercy.",ستوان تئودول ژیو نورمان که در آن هنگام سروان شده بود از شار‌تر که مرکز پادگانش بود برای حضور در عروسی نوه عمویش پون مرسی به اینجا آمده بود.,mizan
"A hieroglyph, said the Rhetor, is an emblem of something not cognizable by the senses but which possesses qualities resembling those of the symbol.",هیروگلیف نا مگذاری اشیایی است که با حواس قابل درک نیستند و دارای چگونگی‌هایی شبیه به تصاویر مشخصه آن‌ها می‌باشند.,mizan
"And We send down from the sky rain charted with blessing, and We produce therewith gardens and Grain for harvests;","و از آسمان آبی بسیار پربرکت و سودمند نازل کردیم، پس به وسیله آن باغ‌ها و دانه‌های دروکردنی را رویاندیم.",quran
Kaf. Ha. Ya. 'Ain. Sad.,کهیعص,quran
"Chardin, eh?",مثل کارش اردن؟,mizan
"And when they agreed not among themselves, they departed, after that Paul had spoken one word, Well spake the Holy Ghost by Esaias the prophet unto our fathers,",و یقین داری که خود هادی کوران و نور ظلمتیان,bible
I'll take that as a no.,"خوب، جواب تو را به معنی نه می‌گیرم.",mizan
"Look, Kemal '",ببین کمال,mizan
(Then) shall each soul know what it hath sent forward and (what it hath) kept back.,هرکسی آنچه را [از خیر و شر] پیش فرستاده و باز پس نهاده بداند.,quran
"And We bestowed of Our Mercy on them, and We granted them lofty honour on the tongue of truth.","و به آنان از رحمت خود بخشیدیم، وبرای آنان [در میان مردم] نامی نیک و ستایشی والامرتبه قرار دادیم.",quran
But the sorcerers fell down prostrate in adoration.,و جادوگران [با دیدن آن معجزه عظیم و باطل شدن سحر خویش] به سجده افتادند.,quran
"In fact, just between ourselves, there oughtn't tobe any unions allowed at all;","خلاصه، بین خودمان بماند، اصلا نباید اجازه داد هیچ اتحادیه‌ای تشکیل بشود",mizan
"For he that hath, to him shall be given: and he that hath not, from him shall be taken even that which he hath.","او هنوز سخن می‌گفت که بعضی از خانه رئیس کنیسه آمده، گفتند: «دخترت فوت شده؛ دیگر برای چه استاد را زحمت می‌دهی؟»",bible
think us hard hearted beings not to be more moved at the death of so near a relation as an uncle;,"تو تصور می‌کنی ما چه موجودات سنگدلی هستیم که از مرگ خویشاوند نزدیکی مثل دایی خود غصه دار نشده‌ایم،",mizan
"Oui, monsieur.","بله، آقا",mizan
I know I'd make far more allowances for your inexperience than Yankees would!,من برای این بی‌تجربگی تو پول بیشتری از یانکی‌ها می‌دم.,mizan
"How should one chase a thousand, and two put ten thousand to flight, except their Rock had sold them, and the LORD had shut them up?","زیرا خداوند، قوم خود را داوری خواهدنمود. و بر بندگان خویش شفقت خواهد کرد. چون می‌بیند که قوت ایشان نابود شده، وهیچکس چه غلام و چه آزاد باقی نیست.",bible
her recognized devotion weakened the shocking effect of her scorn for the rigid conventions regulating the life of Spanish American girlhood.,از خود گذشتگی آشکارش باعث میشد که از تأثیر شوکه کننده تندی و تلخی او در برابر قراردادها و عرف دست و پا گیر زندگی دختران اسپانیایی آمریکایی کاسته شود,mizan
"Howbeit that was not first which is spiritual, but that which is natural; and afterward that which is spiritual.",نه آنکه بر ایمان شما حکم کرده باشیم بلکه شادی شما را مددکار هستیم زیرا که به ایمان قایم هستید.,bible
"And the priest, whom he shall anoint, and whom he shall consecrate to minister in the priest's office in his father's stead, shall make the atonement, and shall put on the linen clothes, even the holy garments:","«هارون و پسرانش و جمیع بنی‌اسرائیل را خطاب کرده، به ایشان بگو: این است کاری که خداوند می‌فرماید و می‌گوید:",bible
"""And Allah doth advance in guidance those who seek guidance: and the things that endure, Good Deeds, are best in the sight of thy Lord, as rewards, and best in respect of (their) eventual return.""","و آنان که هدایت یافته‌اند، خدا بر هدایتشان می‌افزاید، و اعمال شایسته پایدار نزد پروردگارت از جهت پاداش بهتر و از لحاظ بازدهی نیکوتر است.",quran
"he had one of the cellsnearest the transverse passage, so Clyde learned after arriving",کلاید اندکی پس از ورودش به اینجا دریافت که کوترونه در یکی از سلول‌های نزدیک به دالان باریک محبوس است,mizan
"Then Jesus turned, and saw them following, and saith unto them, What seek ye? They said unto him, Rabbi, (which is to say, being interpreted, Master,) where dwellest thou?","تاهر‌که به او ایمان آرد هلاک نگردد، بلکه حیات جاودانی یابد.",bible
"I beheld the transgressors, and was grieved; because they kept not thy word.",وای بر من که در ماشک ماوا گزیده‌ام و در خیمه های قیدار ساکن شده‌ام.,bible
every now and then telling me some little anecdote of ships or seamen,او در هر فرصتی لطیفه‌ای و حکایتی درباره‌ی کشتی‌ها و دریانوردان می‌گفت,mizan
"Let her not be as one dead, of whom the flesh is half consumed when he cometh out of his mother's womb.","و خداوند موسی را خطاب کرده، گفت:",bible
"When God heard this, he was wroth, and greatly abhorred Israel:","‌ای خدا، ای نجات‌دهنده ما، به‌خاطر جلال نام خود ما را یاری فرما و ما رانجات ده و بخاطر نام خود گناهان ما را بیامرز.",bible
"No one ever knew exactly what happened but when Rhett finally came home, somewhat the worse for drink","هیچ به درستی نفهمید که چه اتفاقی افتاد ولی وقتی عاقبت رتبه خانه برگشت و او از مشروب حواس درستی نداشت، در خانه غوغایی به پا شد.",mizan
"Say: ""For me, I (work) on a clear sign from my Lord, but ye reject Him. What ye would see hastened, is not in my power. The command rests with none but Allah: He declares the truth, and He is the best of judges.""","بگو: من بر دلیل روشنی [مانند قرآن] از سوی پروردگارم هستم و حال آنکه شما آن را تکذیب کردید، عذابی که به آن شتاب دارید در اختیار من نیست. فرمان و حکم فقط به دست خداست، همواره حق را بیان می‌کند و او بهترین داوران و جداکنندگان [حق از باطل] است.",quran
"it somehow never occurred to one to think of the flesh and blood side of it that is, not until he actually got down into the pit and took off his coat.",بهر حال او هرگز به ارزش این‌ سرعت و نیرو پی نبرده بود تا اینکه عملا وارد گود شد و کتش را درآورد.,mizan
